,name,position
8460542,Patrik Elias,C
8469462,Tuomo Ruutu,L
8469500,Michael Cammalleri,L
8469547,Jordin Tootoo,R
8470740,Lee Stempniak,R
8471233,Travis Zajac,C
8471311,Tyler Kennedy,C
8471752,Marc-Andre Gragnani,D
8472382,Andy Greene,D
8472410,Stephen Gionta,C
8473482,Jiri Tlusty,L
8473673,David Schlemko,D
8474024,Jim O'Brien,C
8474641,Adam Henrique,C
8474660,David Warsofsky,D
8475151,Kyle Palmieri,R
8475185,Jacob Josefson,C
8475186,John Moore,D
8475199,Eric Gelinas,D
8475274,Seth Helgeson,D
8475750,Jon Merrill,D
8475758,Devante Smith-Pelly,R
8476200,Paul Thompson,R
8476209,Mike Sislo,R
8476370,Blake Pietila,L
8476423,Reid Boucher,C
8476457,Adam Larsson,D
8476769,Bobby Farnham,R
8476772,Brian O'Neill,R
8476870,Stefan Matteau,C
8476923,Damon Severson,D
8477010,Joseph Blandisi,C
8477425,Miles Wood,L
8477463,Steven Santini,D
8478401,Pavel Zacha,C
8478566,Sergey Kalinin,C
8478584,Vojtech Mozik,D
8471186,Yann Danis,G
8471239,Cory Schneider,G
8475809,Scott Wedgewood,G
8476234,Keith Kinkaid,G
8469707,PA Parenteau,R
8469759,Vernon Fiddler,C
8470724,Kyle Quincey,D
8473933,Ben Lovejoy,D
8473989,Luke Gazdic,L
8474774,Dalton Prout,D
8475761,Beau Bennett,R
8475791,Taylor Hall,L
8476399,Blake Coleman,C
8476474,Stefan Noesen,R
8476526,Ben Thomson,L
8476798,Karl Stollery,D
8477961,John Quenneville,C
8478480,Blake Speers,C
8479250,Nick Lappin,R
8479291,Kevin Rooney,C
8479483,Yohann Auvitu,D
8480081,Michael Kapla,D
8470619,Brian Boyle,C
8471226,Drew Stafford,R
8473546,Michael Grabner,L
8474034,Pat Maroon,L
8474625,Jimmy Hayes,R
8475149,Marcus Johansson,L
8475222,Sami Vatanen,D
8476207,Brian Gibbons,C
8477355,Will Butcher,D
8477509,Mirco Mueller,D
8479407,Jesper Bratt,L
8480002,Nico Hischier,C
8475663,Eddie Lack,G
8478965,Ken Appleby,G
8473468,Eric Gryba,D
8474025,Eric Tangradi,L
8475844,Kenny Agostino,L
8476465,Ryan Murphy,D
8476545,Kurtis Gabriel,R
8476941,Connor Carrick,D
8477520,Jean-Sebastien Dea,C
8477972,Josh Jacobs,D
8478841,Colton White,D
8478881,Brett Seney,L
8479315,Joey Anderson,R
8479330,Brandon Gignac,C
8479414,Nathan Bastian,R
8479415,Michael McLeod,C
8480948,Egor Yakovlev,D
8478406,Mackenzie Blackwood,G
8460720,Eric Boulton,L
8469623,Marek Zidlicky,D
8470144,Frans Nielsen,C
8470187,Johnny Boychuk,D
8470609,Steve Bernier,R
8471362,Mikhail Grabovski,C
8471996,Bracken Kearns,C
8473449,Kyle Okposo,R
8473504,Cal Clutterbuck,R
8473565,Brian Strait,D
8473579,Nikolay Kulemin,L
8474066,Thomas Hickey,D
8474573,Josh Bailey,R
8474612,Travis Hamonic,D
8474709,Matt Martin,L
8475166,John Tavares,C
8475177,Calvin de Haan,D
8475181,Nick Leddy,D
8475192,Taylor Beck,L
8475231,Casey Cizikas,C
8475314,Anders Lee,L
8475754,Brock Nelson,C
8476386,Shane Prince,L
8476409,Alan Quine,C
8476429,Scott Mayfield,D
8476458,Ryan Strome,C
8476917,Adam Pelech,D
8477506,Ryan Pulock,D
8477527,Ross Johnston,L
8470860,Jaroslav Halak,G
8471306,Thomas Greiss,G
8475234,J-F Berube,G
8476444,Christopher Gibson,G
8466251,Jason Chimera,L
8469619,Dennis Seidenberg,D
8471217,Andrew Ladd,L
8472410,Stephen Gionta,C
8477881,Connor Jones,C
8477959,Joshua Ho-Sang,R
8478445,Mathew Barzal,C
8478463,Anthony Beauvillier,L
8474586,Jordan Eberle,R
8475780,Chris Wagner,R
8475869,Brandon Davidson,D
8477936,Michael Dal Colle,L
8479206,Tanner Fritz,C
8480222,Sebastian Aho,D
8470047,Valtteri Filppula,C
8473463,Leo Komarov,R
8474579,Luca Sbisa,D
8475832,Tom Kuhnhackl,R
8478038,Devon Toews,D
8475215,Robin Lehner,G
8467096,Dan Boyle,D
8468526,Jarret Stoll,C
8468575,Dominic Moore,C
8470041,Rick Nash,L
8470230,Daniel Paille,L
8470595,Eric Staal,C
8470630,Kevin Klein,D
8470854,Tanner Glass,L
8471686,Marc Staal,D
8471735,Keith Yandle,D
8471958,Dan Girardi,D
8473537,Viktor Stalberg,L
8473544,Derick Brassard,C
8473589,Chris Summers,D
8474151,Ryan McDonagh,D
8474613,Derek Stepan,C
8475184,Chris Kreider,L
8475692,Mats Zuccarello,R
8475715,Oscar Lindberg,L
8475763,Kevin Hayes,R
8475770,Emerson Etem,R
8475795,Dylan McIlrath,D
8475855,Jesper Fast,R
8475949,Marek Hrivik,L
8476468,J.T. Miller,C
8476869,Brady Skjei,D
8477126,Jayson Megna,C
8476244,Raphael Diaz,D
8468685,Henrik Lundqvist,G
8476433,Magnus Hellberg,G
8477293,Antti Raanta,G
8473546,Michael Grabner,L
8474000,Steven Kampfer,D
8474090,Brendan Smith,D
8474207,Nick Holden,D
8475192,Taylor Beck,L
8475204,Brandon Pirri,C
8476431,Adam Clendening,D
8476459,Mika Zibanejad,C
8476477,Matt Puempel,L
8476482,Nicklas Jensen,R
8476918,Jimmy Vesey,L
8476922,Boo Nieves,C
8477402,Pavel Buchnevich,R
