,Name,ARIMA,Name,DeepAR
0,Nikita Kucherov,369.16902635638723,Patrick Kane,577.7593693733215
1,Connor McDavid,351.99999999999966,Sidney Crosby,504.7906004190445
2,Claude Giroux,351.8698345055122,Blake Wheeler,501.0420583486557
3,Sidney Crosby,351.03813559276176,Nikita Kucherov,493.9009200334549
4,Brad Marchand,346.6552188436202,Artemi Panarin,463.52830135822296
5,Patrick Kane,331.48566796898564,Brent Burns,454.08157360553736
6,Blake Wheeler,324.32786056090555,Alex Ovechkin,452.1667041778565
7,Phil Kessel,323.51157164767665,Phil Kessel,452.14458775520325
8,Nathan MacKinnon,320.79275501432915,Jamie Benn,451.58242416381836
9,Jamie Benn,313.6999909205815,Claude Giroux,450.8759450912476
10,Evgeni Malkin,307.1020408163272,Nicklas Backstrom,436.3170790672302
11,Nicklas Backstrom,302.6118143459926,Tyler Seguin,434.5217624902725
12,Alex Ovechkin,302.3099173553728,Johnny Gaudreau,431.6745127439499
13,Johnny Gaudreau,302.1478260869567,John Tavares,431.61322021484375
14,Tyler Seguin,300.6898158626871,Vladimir Tarasenko,420.9406158924103
15,Anze Kopitar,292.1932772920588,Evgeny Kuznetsov,420.7532122135162
16,Brent Burns,290.2938775510198,Connor McDavid,414.15095758438105
17,Evgeny Kuznetsov,287.7768595041325,Anze Kopitar,411.058263540268
18,Vladimir Tarasenko,282.4854771430819,Brad Marchand,409.57559072971344
19,Mark Scheifele,282.25358655940937,Joe Pavelski,406.3975188732147
20,Joe Pavelski,276.1822097392566,Leon Draisaitl,392.8891726732254
21,Jack Eichel,267.8751100043606,Jakub Voracek,376.5534464120865
22,Leon Draisaitl,267.57574761265323,Nathan MacKinnon,372.9958564043045
23,Jakub Voracek,267.4240540858002,Sean Monahan,361.7382230758667
24,Aleksander Barkov,263.7146224630781,Eric Staal,356.70713913440704
25,Ryan Getzlaf,261.07281553398036,Ryan Johansen,349.13812160491943
26,David Pastrnak,255.6486322392976,Mike Hoffman,345.7786445617675
27,Steven Stamkos,250.85355326067685,Jeff Skinner,342.9661633968353
28,Sean Monahan,245.81355578585152,Mikael Granlund,340.6148586273193
29,Patrice Bergeron,237.87387218694855,Brayden Schenn,340.3290301561356
30,Filip Forsberg,237.75651215371727,Mark Scheifele,338.40238738060003
31,Victor Hedman,236.3776824034336,Erik Karlsson,327.7346682548523
32,Rickard Rakell,234.53477203918632,Ryan O'Reilly,325.37655174732214
33,Mikko Rantanen,232.5157049435974,Jonathan Toews,317.34462070465094
34,Jonathan Toews,228.86222222222125,Victor Hedman,317.1321836709976
35,Sean Couturier,226.96205412463496,Evgeni Malkin,312.8179550170898
36,Joe Thornton,226.54106280190345,Justin Williams,309.9141342639923
37,Jonathan Huberdeau,226.53849499829417,Aleksander Barkov,309.57765245437616
38,Vincent Trocheck,222.9623430962327,Drew Doughty,309.3965908288956
39,Roman Josi,221.20566885831397,Josh Bailey,305.4867309331894
40,David Krejci,220.72350230414807,Anders Lee,302.15612590312963
41,John Klingberg,220.71729957805655,J.T. Miller,302.05127382278437
42,Cam Atkinson,217.3876651981991,Filip Forsberg,301.49360895156866
43,Torey Krug,212.21319329781343,Roman Josi,301.356880903244
44,Jeff Carter,211.56632455775235,Cam Atkinson,299.7176657915116
45,Nazem Kadri,210.06066241706503,Wayne Simmonds,299.4564390182495
46,Jason Zucker,209.65146078604315,Patrice Bergeron,298.13168871402735
47,Logan Couture,208.97043513063934,John Klingberg,297.54967594146734
48,Anders Lee,208.59499933475865,Keith Yandle,294.87701690196985
49,Drew Doughty,206.54285702822563,Matt Duchene,291.62944471836084
50,Dylan Larkin,206.24905436962337,Nazem Kadri,290.47328233718866
51,Josh Bailey,205.63123175417235,Mikael Backlund,289.83453369140625
52,Kyle Palmieri,205.2094018931345,David Krejci,289.71562814712524
53,Nikolaj Ehlers,204.74042528839135,Teuvo Teravainen,288.7567300796509
54,Shayne Gostisbehere,204.156671460057,Brandon Saad,288.64677000045776
55,Patrik Laine,204.0667932878039,Vincent Trocheck,286.6558585166931
56,Kris Letang,203.99999996861877,Patrick Marleau,284.8300726413727
57,T.J. Oshie,202.0619240582039,Jack Eichel,284.1990339756012
58,Viktor Arvidsson,201.10817872724704,Derek Stepan,282.8875439167022
59,John Carlson,198.3540669856452,Ryan Suter,281.4755353927613
60,Mitchell Marner,197.46834520230385,Mark Giordano,281.33426427841187
61,Gabriel Landeskog,195.90621641736536,Sam Reinhart,280.50588512420654
62,Mikael Backlund,195.6664978497479,Milan Lucic,280.3955104351044
63,Tyson Barrie,194.9538423060595,Ryan Getzlaf,279.76084232330317
64,Alexander Steen,193.42660550133397,Adam Henrique,279.6638457775116
65,Auston Matthews,192.86713259691658,Jordan Eberle,277.76802206039434
66,Mikko Koivu,192.38187740539118,Dougie Hamilton,277.24580955505365
67,Sam Reinhart,191.36031642253508,Max Pacioretty,277.18355298042303
68,Ryan Suter,189.8799886191427,Dylan Larkin,277.0826556682587
69,Jaden Schwartz,189.755813953484,Mats Zuccarello,272.40156698226934
70,Tyler Toffoli,189.43361504791778,Mark Stone,270.9828329086304
71,Patric Hornqvist,188.95927601809743,Gustav Nyquist,270.92057979106903
72,Bryan Little,186.9441624340384,Taylor Hall,268.7353239059448
73,Dustin Brown,186.82084609335726,Nikolaj Ehlers,267.3167918920517
74,Corey Perry,185.78321982906436,Tomas Tatar,266.0491018295288
75,Bo Horvat,185.34513273145546,Oliver Ekman-Larsson,264.1437044143677
76,Oliver Ekman-Larsson,182.53191296184642,Elias Lindholm,263.5987591743469
77,Chris Kreider,182.42180094786616,David Pastrnak,262.899658203125
78,Tyler Johnson,182.34198570114057,Kyle Palmieri,262.84022569656366
79,Alex Pietrangelo,181.4797359036578,Torey Krug,261.42945384979254
80,Alexander Wennberg,180.96261675640585,Gabriel Landeskog,259.91580772399897
81,Dustin Byfuglien,177.58627687710268,Joe Thornton,257.0958468914032
82,Ryan Nugent-Hopkins,176.60358055818895,Kyle Okposo,256.9234571456909
